
WO,Lichaam,Ademhaling,Wat halen de longen uit de lucht?,Zuurstof,Koolstofdioxide,Water,Voedsel
WO,Lichaam,Ademhaling,Waarom heeft de luchtpijp kraakbeenringen?,Zodat hij niet wordt dichtgedrukt,Om harder te praten,Om slijm te maken,Om lucht te filteren
WO,Lichaam,Ademhaling,Waarop steunen de longen?,Het middenrif,De maag,De lever,De ribbenkast
WO,Lichaam,Ademhaling,Wat geven de longblaasjes af om uit te ademen?,Koolstofdioxide en water,Alleen zuurstof,Energie,Stofdeeltjes
WO,Lichaam,Bloedsomloop,Hoe vaak klopt het hart ongeveer per dag?,Ruim 100.000 maal,1.000 maal,70 maal,10.000 maal
WO,Lichaam,Bloedsomloop,Waar kun je de hartslag voelen buiten de pols?,In de hals of de lies,Op de vingertop,Bij de elleboog,Op de knie
WO,Lichaam,Bloedsomloop,Wat vertrekt er vanuit de linkerkamer?,Zuurstofrijk bloed via slagaders,Zuurstofarm bloed via aders,Alleen afvalstoffen,Lucht
WO,Lichaam,Bloedsomloop,Wat gebeurt er in de kleine bloedsomloop?,Koolstofdioxide afgeven en zuurstof opnemen,Voedsel verteren,Botten maken,Spieren rusten
WO,Lichaam,Skelet,Uit hoeveel wervels bestaat de ruggengraat?,32,206,12,50
WO,Lichaam,Skelet,Hoeveel botten heeft een volwassen mens?,206,32,100,500
WO,Lichaam,Skelet (Kaart),Hoe heet het bot van het hoofd?,Schedel,Bekken,Borstbeen,Schouderblad
WO,Lichaam,Skelet (Kaart),Hoe heet het bot bij de keel/nek?,Halswervels,Ruggenwervels,Sleutelbeen,Borstbeen
WO,Lichaam,Skelet (Kaart),Welk bot loopt van de schouder naar het borstbeen?,Sleutelbeen,Rib,Opperarmbeen,Spaakbeen
WO,Lichaam,Skelet (Kaart),Hoe heet het platte bot op je rug bij de schouder?,Schouderblad,Borstbeen,Bekken,Schedel
WO,Lichaam,Skelet (Kaart),Hoe heet het bot in het midden van de borstkas?,Borstbeen,Sleutelbeen,Rib,Wervelkolom
WO,Lichaam,Skelet (Kaart),Hoe heeten de botten die de borstkas vormen?,Ribben,Halswervels,Bekken,Handwortelbeentjes
WO,Lichaam,Skelet (Kaart),Hoe heet het bot in de bovenarm?,Opperarmbeen,Dijbeen,Spaakbeen,Ellepijp
WO,Lichaam,Skelet (Kaart),Welk bot in de onderarm ligt aan de kant van de duim?,Spaakbeen,Ellepijp,Opperarmbeen,Sleutelbeen
WO,Lichaam,Skelet (Kaart),Welk bot in de onderarm ligt aan de kant van de pink?,Ellepijp,Spaakbeen,Dijbeen,Kuitbeen
WO,Lichaam,Skelet (Kaart),Hoe heten de botjes in de pols?,Handwortelbeentjes,Voetwortelbeentjes,Vingerkootjes,Bekken
WO,Lichaam,Skelet (Kaart),Hoe heten de botjes van de vingers?,Vingerkootjes,Handwortelbeentjes,Teenkootjes,Ribben
WO,Lichaam,Skelet (Kaart),Hoe heet het grote bot onderaan de ruggengraat?,Bekken,Borstbeen,Schedel,Knieschijf
WO,Lichaam,Skelet (Kaart),Hoe heet het bot in het bovenbeen?,Dijbeen,Opperarmbeen,Scheenbeen,Kuitbeen
WO,Lichaam,Skelet (Kaart),Hoe heet het botje bij de knie?,Knieschijf,Elleboog,Bekken,Schedel
WO,Lichaam,Skelet (Kaart),Hoe heet het dikste bot in het onderbeen?,Scheenbeen,Kuitbeen,Dijbeen,Spaakbeen
WO,Lichaam,Skelet (Kaart),Hoe heet het dunne bot in het onderbeen?,Kuitbeen,Scheenbeen,Ellepijp,Borstbeen
WO,Lichaam,Skelet (Kaart),Hoe heeten de botjes in de enkel?,Voetwortelbeentjes,Handwortelbeentjes,Teenkootjes,Ribben
